lien,name,tagline,price,dates
https://mapara.ma/huiles-vegetales/381-bcombio-organic-huile-dargan-100-bio-pure-50-ml.html,BcomBIO ORGANIC,HUILE D'ARGAN 100% BIO & PURE 50 ML,"120,00",2022-08-15 16:10:51.207951
https://mapara.ma/hydratation-et-nutrition-corps/3299-nuxe-huile-prodigieuse-100ml-soin-multi-fonctions-visage-corps-cheveux.html,NUXE,"HUILE PRODIGIEUSE 100ML SOIN MULTI-FONCTIONS - VISAGE, CORPS, CHEVEUX","255,00",2022-08-15 16:10:51.208596
https://mapara.ma/aromatherapie/2560-le-comptoir-aroma-inhaleur-respir.html,LE COMPTOIR AROMA,INHALEUR RESPIR,"48,00",2022-08-15 16:10:51.209514
https://mapara.ma/huiles-essentielles/2561-le-comptoir-aroma-respir-air-pur-composition-pour-diffusion-agrumes-30ml.html,LE COMPTOIR AROMA,RESPIR' AIR PUR COMPOSITION POUR DIFFUSION AGRUMES 30ML,"121,00",2022-08-15 16:10:51.209944
https://mapara.ma/complexes-d-huiles-essentielles/2562-le-comptoir-aroma-respir-air-pur-composition-pour-diffusion-menthe-citron-30-ml.html,LE COMPTOIR AROMA,RESPIR' AIR PUR COMPOSITION POUR DIFFUSION MENTHE-CITRON 30 ML,"121,00",2022-08-15 16:10:51.210394
https://mapara.ma/aromatherapie/2567-le-comptoir-aroma-roll-on-effet-fraicheur-5-ml.html,LE COMPTOIR AROMA,ROLL-ON EFFET FRAÎCHEUR 5 ML,"54,00",2022-08-15 16:10:51.210854
https://mapara.ma/huiles-essentielles/3816-puressentiel-ylang-ylang-huile-essentielle-10-ml.html,PURESSENTIEL,YLANG YLANG HUILE ESSENTIELLE 10 ML,"95,00",2022-08-15 16:10:51.211297
https://mapara.ma/sprays-d-ambiance/3813-puressentiel-sommeil-detente-spray-aerien-12-huiles-essentielles-75ml.html,PURESSENTIEL,SOMMEIL DÉTENTE SPRAY AÉRIEN 12 HUILES ESSENTIELLES 75ML,"258,00",2022-08-15 16:10:51.211674
https://mapara.ma/sprays-d-ambiance/3812-puressentiel-sommeil-detente-spray-aerien-12-huiles-essentielles-200ml.html,PURESSENTIEL,SOMMEIL DÉTENTE SPRAY AÉRIEN 12 HUILES ESSENTIELLES 200ML,"515,00",2022-08-15 16:10:51.212050
https://mapara.ma/sprays-d-ambiance/3808-puressentiel-respiratoire-spray-aerien-aux-19-huiles-essentielles-20-ml.html,PURESSENTIEL,RESPIRATOIRE SPRAY AÉRIEN AUX 19 HUILES ESSENTIELLES 20 ML,"136,00",2022-08-15 16:10:51.212429
