lien,name,tagline,price,dates
https://mapara.ma/apres-shampooing/3670-placentor-vegetal-apres-shampooing-reparateur-200-ml.html,PLACENTOR Végétal,APRÉS-SHAMPOOING REPARATEUR 200 ML,"124,00",2022-09-01 11:38:19.681294
https://mapara.ma/anti-moustiques/3748-puressentiel-anti-poux-lotion-100-ml.html,PURESSENTIEL,ANTI POUX LOTION 100 ML,"314,00",2022-09-01 11:38:19.682004
https://mapara.ma/shampooing-doux-et-frequent/3701-placentor-vegetal-shampoing-soin-reparateur.html,PLACENTOR Végétal,SHAMPOING SOIN REPARATEUR,"94,00",2022-09-01 11:38:19.686590
https://mapara.ma/gel-douche-savon-liquide-gommage/377-bcombio-organic-gel-nettoyant-2-en-1-corps-cheveux-500-ml.html,BcomBIO ORGANIC,GEL NETTOYANT 2 EN 1 CORPS & CHEVEUX 500 ML,"108,00",2022-09-01 11:38:19.687251
https://mapara.ma/apres-shampooing/3604-phyto-phytobaume-eclat-couleur-apres-shampoing.html,PHYTO,PHYTOBAUME ÉCLAT COULEUR APRÈS SHAMPOING,"166,00",2022-09-01 11:38:19.690911
https://mapara.ma/apres-shampooing/3605-phyto-phytobaume-hydratation-apres-shampooing-conditionneur.html,PHYTO,PHYTOBAUME HYDRATATION APRÈS SHAMPOOING CONDITIONNEUR,"192,00",2022-09-01 11:38:19.692273
https://mapara.ma/shampooing-cheveux-gras/3606-phyto-phytocedrat-shampooing-purifiant-sebo-regulateur-200ml.html,PHYTO,PHYTOCEDRAT SHAMPOOING PURIFIANT SÉBO-RÉGULATEUR 200ML,"148,00",2022-09-01 11:38:19.693151
https://mapara.ma/serums-et-ampoules-capillaires/3607-phyto-phytocitrus-masque-regenerant-eclat-couleur-200ml.html,PHYTO,PHYTOCITRUS MASQUE RÉGÉNÉRANT ÉCLAT COULEUR 200ML,"213,00",2022-09-01 11:38:19.693905
https://mapara.ma/shampooing-anti-chute/3609-phyto-phytocyane-shampooing-traitant-250-ml.html,PHYTO,PHYTOCYANE SHAMPOOING TRAITANT 250 ML,"186,00",2022-09-01 11:38:19.694550
https://mapara.ma/masques-baumes-huiles-capillaires/3610-phyto-phytodensia-masque-fluide-repulpant-175ml.html,PHYTO,PHYTODENSIA MASQUE FLUIDE REPULPANT 175ML,"480,00",2022-09-01 11:38:19.697019
