lien,name,tagline,price,dates
https://mapara.ma/pieds-secs-et-abimes/367-bcombio-organic-creme-pieds-nourrissante-et-relaxante-100-ml.html,BcomBIO ORGANIC,CRÈME PIEDS NOURRISSANTE ET RELAXANTE 100 ML,"110,00",2022-08-15 16:08:50.222975
https://mapara.ma/creme-et-mousse-depilatoire/4413-vichy-creme-depilatoire-haute-tolerance-150ml-epilation-integrale-en-douceur.html,VICHY,CRÈME DEPILATOIRE HAUTE TOLERANCE 150ML EPILATION INTÉGRALE EN DOUCEUR,"108,00",2022-08-15 16:08:50.223621
https://mapara.ma/gommage-et-exfoliant-corps/3345-nuxe-reve-de-miel-gommage-corps-nourrissant-175-ml.html,NUXE,RÊVE DE MIEL GOMMAGE CORPS NOURRISSANT 175 ML,"190,00",2022-08-15 16:08:50.224591
https://mapara.ma/parfum-homme/3404-olfactissimo-eau-de-cologne-delicate-fraicheur-deau-spray-100ml.html,OLFACTISSIMO,EAU DE COLOGNE DÉLICATE FRAICHEUR D'EAU SPRAY 100ML,"242,00",2022-08-15 16:08:50.225145
https://mapara.ma/dissolvant/1983-herome-disques-de-dissolvant.html,HEROME,DISQUES DE DISSOLVANT,"112,00",2022-08-15 16:08:50.225754
https://mapara.ma/pedicure/2510-lanaform-dolce-rape-electrique.html,LANAFORM,DOLCE RÂPE ÉLECTRIQUE,"847,00",2022-08-15 16:08:50.226308
https://mapara.ma/mains-seches-et-abimees/241-avene-cicalfate-mains-creme-reparatrice-isolante-100ml.html,AVENE,CICALFATE MAINS CRÈME RÉPARATRICE ISOLANTE 100ML,"123,00",2022-08-15 16:08:50.226912
https://mapara.ma/cire-et-bandes-depilatoires-/2512-lanaform-epilateur-epil-net.html,LANAFORM,EPILATEUR EPIL NET,"65,00",2022-08-15 16:08:50.227482
https://mapara.ma/vitiligo/3581-pharmaceris-pharmaceris-v-viti-melo-night-visage-et-corps.html,PHARMACERIS,PHARMACERIS V VITI-MELO NIGHT VISAGE ET CORPS,"408,00",2022-08-15 16:08:50.227940
https://mapara.ma/parfum-femme/3276-nuxe-body-eau-delassante-parfumee-100-ml.html,NUXE,BODY EAU DÉLASSANTE PARFUMÉE 100 ML,"250,00",2022-08-15 16:08:50.228434
https://mapara.ma/hydratants-toutes-peaux/248-avene-cold-cream-creme-40ml.html,AVENE,COLD CREAM CRÈME 40ML,"121,00",2022-08-15 16:08:50.228865
https://mapara.ma/lait-corps-eclaircissant/3689-placentor-vegetal-lait-corps-eclaircissant.html,PLACENTOR Végétal,LAIT CORPS ÉCLAIRCISSANT,"326,00",2022-08-15 16:08:50.229353
https://mapara.ma/soins-buste-et-seins/2616-lierac-bust-lift-spray-lissant-sublimateur-100ml.html,LIERAC,BUST LIFT SPRAY LISSANT SUBLIMATEUR 100ML,"300,00",2022-08-15 16:08:50.229918
https://mapara.ma/lait-corps-eclaircissant/30-acm-depiwhite-lait-eclaircissant-200ml.html,ACM,DEPIWHITE LAIT ECLAIRCISSANT 200ML,"178,00",2022-08-15 16:08:50.230416
https://mapara.ma/accessoires-manucure-et-pedicure-/1997-herome-polissoir-4-phases-super-shine.html,HEROME,POLISSOIR 4 PHASES - SUPER SHINE,"134,00",2022-08-15 16:08:50.230904
https://mapara.ma/accessoires-et-vetements-minceur/2493-lanaform-appareil-de-massage-trimax.html,LANAFORM,APPAREIL DE MASSAGE TRIMAX,2,2022-08-15 16:08:50.231331
https://mapara.ma/parfum-homme/3405-olfactissimo-eau-de-cologne-emotion-pure-deau-spray-100ml.html,OLFACTISSIMO,EAU DE COLOGNE ÉMOTION PURE D'EAU SPRAY 100ML,"242,00",2022-08-15 16:08:50.231757
https://mapara.ma/vitiligo/3580-pharmaceris-v-viti-melo-day-spf50-creme-protectrice-75ml.html,PHARMACERIS,"V VITI MELO DAY SPF50 +CRÈME PROTECTRICE, 75ML","285,00",2022-08-15 16:08:50.232248
https://mapara.ma/dissolvant/1984-herome-dissolvant-soignant-sans-acetone.html,HEROME,DISSOLVANT SOIGNANT SANS ACÉTONE,"108,00",2022-08-15 16:08:50.232736
https://mapara.ma/pieds-fatigues-et-echauffes/86-addax-pieds-echauffement-creme-relaxante-oedemax-50ml.html,ADDAX,Pieds Echauffement Crème Relaxante Oedemax 50ml,"82,00",2022-08-15 16:08:50.233228
https://mapara.ma/hydratants-toutes-peaux/247-avene-cold-cream-creme-100ml.html,AVENE,COLD CREAM CRÈME 100ML,"154,00",2022-08-15 16:08:50.233719
https://mapara.ma/pedicure/2528-lanaform-rape-exfoliante-satin.html,LANAFORM,RÂPE EXFOLIANTE SATIN,"523,00",2022-08-15 16:08:50.234147
https://mapara.ma/creme-et-mousse-depilatoire/3006-naturesoin-creme-depilatoire-argan-50ml.html,NATURESOIN,CRÈME DÉPILATOIRE ARGAN 50ML,"35,00",2022-08-15 16:08:50.234639
https://mapara.ma/mains-seches-et-abimees/250-avene-cold-cream-mains-50ml.html,AVENE,COLD CREAM MAINS 50ML,"99,00",2022-08-15 16:08:50.242198
https://mapara.ma/soins-des-ongles/2393-la-roche-posay-silicium-vernis-fortifiant-protecteur-hypoallergenique-chocolat-noir.html,LA ROCHE-POSAY,SILICIUM VERNIS FORTIFIANT PROTECTEUR HYPOALLERGÉNIQUE CHOCOLAT NOIR,"86,00",2022-08-15 16:08:50.242861
https://mapara.ma/soins-anti-taches-anti-age-mains/1361-ducray-melascreen-photo-aging-soin-global-mains-50-ml.html,DUCRAY,MELASCREEN PHOTO-AGING SOIN GLOBAL MAINS 50 ML,"155,00",2022-08-15 16:08:50.243361
https://mapara.ma/parfum-femme/3336-nuxe-prodigieux-le-parfum-femme.html,NUXE,PRODIGIEUX LE PARFUM FEMME,"389,00",2022-08-15 16:08:50.243831
https://mapara.ma/lait-corps-eclaircissant/31-acm-depiwhite-lait-eclaircissant-500ml.html,ACM,DEPIWHITE LAIT ECLAIRCISSANT 500ML,"232,00",2022-08-15 16:08:50.244760
https://mapara.ma/mains-seches-et-abimees/368-bcombio-organic-creme-protectrice-et-reparatrice-mains-et-ongles-50-ml.html,BcomBIO ORGANIC,CRÈME PROTECTRICE ET RÉPARATRICE MAINS ET ONGLES 50 ML,"68,00",2022-08-15 16:08:50.245419
https://mapara.ma/accessoires-manucure-et-pedicure-/1998-herome-repoussoir-de-cuticules.html,HEROME,REPOUSSOIR DE CUTICULES,"86,00",2022-08-15 16:08:50.245925
https://mapara.ma/creme-et-mousse-depilatoire/3007-naturesoin-creme-depilatoire-avocat-50ml.html,NATURESOIN,CRÈME DÉPILATOIRE AVOCAT 50ML,"35,00",2022-08-15 16:08:51.532277
https://mapara.ma/soins-hydratation-teintes-bonne-mine/1544-fauvert-vhs-enjoil-creme-scintillante-150-ml.html,FAUVERT VHS,ENJOIL CRÈME SCINTILLANTE 150 ML,"349,00",2022-08-15 16:08:51.532950
https://mapara.ma/soins-des-ongles/2395-la-roche-posay-silicium-vernis-fortifiant-protecteur-hypoallergenique-rouge-parfait.html,LA ROCHE-POSAY,SILICIUM VERNIS FORTIFIANT PROTECTEUR HYPOALLERGÉNIQUE ROUGE PARFAIT,"86,00",2022-08-15 16:08:51.556138
https://mapara.ma/vitiligo/1597-fiderma-vit-go-50-ml.html,FIDERMA,VIT-GO 50 ML,"309,00",2022-08-15 16:08:51.556748
https://mapara.ma/lait-corps-eclaircissant/31-acm-depiwhite-lait-eclaircissant-500ml.html,ACM,DEPIWHITE LAIT ECLAIRCISSANT 500ML,"232,00",2022-08-15 16:08:51.557264
https://mapara.ma/mains-seches-et-abimees/368-bcombio-organic-creme-protectrice-et-reparatrice-mains-et-ongles-50-ml.html,BcomBIO ORGANIC,CRÈME PROTECTRICE ET RÉPARATRICE MAINS ET ONGLES 50 ML,"68,00",2022-08-15 16:08:51.557772
https://mapara.ma/accessoires-manucure-et-pedicure-/1998-herome-repoussoir-de-cuticules.html,HEROME,REPOUSSOIR DE CUTICULES,"86,00",2022-08-15 16:08:51.558348
