lien,name,tagline,price,dates
https://mapara.ma/dentifrices-gencives-sensibles/1008-cattier-dentargile-propolis-100-ml.html,CATTIER,DENTARGILE PROPOLIS 100 ML,"63,00",2022-09-01 11:38:56.331120
https://mapara.ma/dentifrices-blanchissants/1012-cattier-eridene-blanchissant-75-ml.html,CATTIER,ERIDENE BLANCHISSANT 75 ML,"75,00",2022-09-01 11:38:56.331799
https://mapara.ma/appareils-dentaires/1910-gum-fil-dentaire-original-white.html,GUM,FIL DENTAIRE ORIGINAL WHITE,"35,00",2022-09-01 11:38:56.332353
https://mapara.ma/bain-de-bouche-et-soin-gencive/3557-parodontax-bain-de-bouche-500ml.html,PARODONTAX,BAIN DE BOUCHE 500ML,"77,00",2022-09-01 11:38:56.332843
https://mapara.ma/brosses-a-dents-electriques-/3433-oral-b-advance-expert-precision-clean-brosse-a-dent-2-batteries-duracell.html,ORAL-B,ADVANCE EXPERT PRÉCISION CLEAN BROSSE À DENT +2 BATTERIES DURACELL,"156,00",2022-09-01 11:38:56.333565
https://mapara.ma/brosses-a-dents-manuelles/3435-oral-b-brosse-3d-white-souple.html,ORAL-B,BROSSE 3D WHITE SOUPLE,"32,00",2022-09-01 11:38:56.334251
https://mapara.ma/brosses-a-dents-enfants/3437-oral-b-brosse-a-dent-kids-stages-1-4-24-mois.html,ORAL-B,BROSSE A DENT KIDS STAGES 1 (4 - 24 MOIS),"24,00",2022-09-01 11:38:56.334804
https://mapara.ma/brosses-a-dents-specialisees/3441-oral-b-brosse-a-dent-orthodontique.html,ORAL-B,BROSSE A DENT ORTHODONTIQUE,"25,00",2022-09-01 11:38:56.335882
https://mapara.ma/dentifrices-gencives-sensibles/1005-cattier-dentargile-anis-100-ml.html,CATTIER,DENTARGILE ANIS 100 ML,"63,00",2022-09-01 11:38:56.336523
https://mapara.ma/fils-dentaires-/3467-oral-b-fil-dentaire-satin-floss.html,ORAL-B,FIL DENTAIRE SATIN FLOSS,"25,00",2022-09-01 11:38:56.337078
https://mapara.ma/dentifrices-gencives-sensibles/1009-cattier-dentargile-romarin-100-ml.html,CATTIER,DENTARGILE ROMARIN 100 ML,"63,00",2022-09-01 11:38:56.337686
https://mapara.ma/dentifrices-blanchissants/1013-cattier-eridene-dentifrice-poudre-blanchissant-40-ml.html,CATTIER,ERIDENE DENTIFRICE POUDRE BLANCHISSANT 40 ML,"75,00",2022-09-01 11:38:56.338494
https://mapara.ma/fils-dentaires-/1915-gum-manche-porte-fil-dentaire.html,GUM,MANCHE PORTE-FIL DENTAIRE,"103,00",2022-09-01 11:38:56.339010
https://mapara.ma/brosses-a-dents-manuelles/3436-oral-b-brosse-a-dent-3d-white-medium.html,ORAL-B,BROSSE A DENT 3D WHITE MÉDIUM,"33,00",2022-09-01 11:38:56.339756
https://mapara.ma/dentifrices-gencives-sensibles/1006-cattier-dentargile-citron-100-ml.html,CATTIER,DENTARGILE CITRON 100 ML,"63,00",2022-09-01 11:38:56.340272
https://mapara.ma/bain-de-bouche-et-soin-gencive/3471-oral-b-pro-expert-bain-de-bouche-multi-protection-250ml.html,ORAL-B,PRO-EXPERT BAIN DE BOUCHE MULTI PROTECTION 250ML,"30,00",2022-09-01 11:38:56.340817
https://mapara.ma/fils-dentaires-/1909-gum-fil-dentaire-flosbrush.html,GUM,FIL DENTAIRE FLOSBRUSH,"111,00",2022-09-01 11:38:56.341291
https://mapara.ma/dentifrices-gencives-sensibles/3462-oral-b-dentifrice-gencives-purify-extra-fraicheur-75ml.html,ORAL-B,Dentifrice Gencives Purify Extra Fraîcheur 75ml,"48,00",2022-09-01 11:38:56.342243
https://mapara.ma/brosses-a-dents-enfants/3442-oral-b-brosse-a-dent-rechargeable-cars-kids-3-ans.html,ORAL-B,BROSSE À DENT RECHARGEABLE CARS KIDS + 3 ANS,"198,00",2022-09-01 11:38:56.342921
https://mapara.ma/brosses-a-dents-specialisees/3445-oral-b-brosse-a-dent-ultrathin-green-tea.html,ORAL-B,BROSSE À DENT ULTRATHIN GREEN TEA,"19,00",2022-09-01 11:38:56.343962
https://mapara.ma/haleine-fraiche/1007-cattier-dentargile-menthe-100-ml.html,CATTIER,DENTARGILE MENTHE 100 ML,"63,00",2022-09-01 11:38:56.344778
https://mapara.ma/accessoires-dentaires/2924-miradent-tong-clin-de-luxe.html,MIRADENT,TONG-CLIN DE LUXE,"129,00",2022-09-01 11:38:56.345604
https://mapara.ma/bain-de-bouche-et-soin-gencive/3472-oral-b-pro-expert-protection-professionnelle-bain-de-bouche-500ml.html,ORAL-B,PRO-EXPERT PROTECTION PROFESSIONNELLE BAIN DE BOUCHE 500ML,"31,00",2022-09-01 11:38:56.346159
https://mapara.ma/fils-dentaires-/1908-gum-fil-dentaire-fine-floss-non-cire.html,GUM,FIL DENTAIRE FINE FLOSS NON CIRÉ,"52,00",2022-09-01 11:38:56.346616
https://mapara.ma/appareils-dentaires/3210-novafix-creme-adhesive-20g.html,NOVAFIX,CRÈME ADHESIVE 20G,"36,00",2022-09-01 11:38:56.347095
https://mapara.ma/dentifrices-blanchissants/1015-cattier-eridene-haleine-fraiche-75ml.html,CATTIER,ERIDENE HALEINE FRAICHE 75ML,"75,00",2022-09-01 11:38:56.347540
https://mapara.ma/accessoires-dentaires/1934-gum-trav-ler-manche-par-4-unites-avec-brossette-2mm.html,GUM,TRAV-LER MANCHE PAR 4 UNITES AVEC BROSSETTE 2MM,"57,00",2022-09-01 11:38:56.347979
https://mapara.ma/dentifrices-enfants/1405-elgydium-dentifrice-banane-2-6-ans.html,ELGYDIUM,DENTIFRICE BANANE 2- 6 ANS,"37,00",2022-09-01 11:38:56.348413
https://mapara.ma/dentifrices-orthodontiques/1901-gum-dentifrice-special-ortho.html,GUM,DENTIFRICE SPECIAL ORTHO,"42,00",2022-09-01 11:38:56.348856
https://mapara.ma/brosses-a-dents-enfants/3440-oral-b-brosse-a-dent-kids-stages-4-8-ans.html,ORAL-B,BROSSE A DENT KIDS STAGES 4 (+ 8 ANS),"26,00",2022-09-01 11:38:56.349473
https://mapara.ma/appareils-dentaires/3210-novafix-creme-adhesive-20g.html,NOVAFIX,CRÈME ADHESIVE 20G,"36,00",2022-09-01 11:38:57.353240
https://mapara.ma/dentifrices-blanchissants/1015-cattier-eridene-haleine-fraiche-75ml.html,CATTIER,ERIDENE HALEINE FRAICHE 75ML,"75,00",2022-09-01 11:38:57.353900
https://mapara.ma/dentifrices-enfants/1408-elgydium-dentifrice-fraise-givree-2-6-ans.html,ELGYDIUM,DENTIFRICE FRAISE GIVRÉE 2- 6 ANS,"39,00",2022-09-01 11:38:57.354793
https://mapara.ma/dentifrices-protection-caries/3465-oral-b-dentifrice-pro-expert-protection-professionnelle-menthe-extra-fraiche-75-ml.html,ORAL-B,DENTIFRICE PRO EXPERT PROTECTION PROFESSIONNELLE MENTHE EXTRA-FRAICHE 75 ML,"62,00",2022-09-01 11:38:57.355253
https://mapara.ma/dentifrices-orthodontiques/3715-president-daily-clean-dentifrice-ortho-implant-75-ml.html,PRESIDENT,DAILY CLEAN DENTIFRICE ORTHO IMPLANT 75 ML,"43,00",2022-09-01 11:38:57.355801
https://mapara.ma/fils-dentaires-/1907-gum-fil-dentaire-fine-floss-cire.html,GUM,FIL DENTAIRE FINE FLOSS CIRÉ,"52,00",2022-09-01 11:38:57.356358
https://mapara.ma/brosses-a-dents-manuelles/3447-oral-b-brosse-a-dents-3-effect-natural-fresh-1-1.html,ORAL-B,BROSSE A DENTS 3 EFFECT NATURAL FRESH 1+1,"16,00",2022-09-01 11:38:57.357077
https://mapara.ma/appareils-dentaires/3211-novafix-creme-adhesive-40g.html,NOVAFIX,CRÈME ADHESIVE 40G,"70,00",2022-09-01 11:38:57.357633
https://mapara.ma/bain-de-bouche-et-soin-gencive/4050-sensodyne-bain-de-bouche-menthe-fraiche-500-ml.html,SENSODYNE,BAIN DE BOUCHE MENTHE FRAICHE 500 ML,"71,00",2022-09-01 11:38:57.358119
https://mapara.ma/accessoires-dentaires/1933-gum-trav-ler-manche-par-4-unites-avec-brossette-1-4mm-fine.html,GUM,"TRAV-LER MANCHE PAR 4 UNITES AVEC BROSSETTE 1, 4MM FINE","57,00",2022-09-01 11:38:57.358672
https://mapara.ma/appareils-dentaires/3725-president-denture-creme-adhesive-50-gm.html,PRESIDENT,DENTURE CRÈME ADHÉSIVE 50 GM,"45,00",2022-09-01 11:38:57.359270
https://mapara.ma/dentifrices-enfants/1409-elgydium-dentifrice-junior-arome-grenadine-50-ml.html,ELGYDIUM,DENTIFRICE JUNIOR ARÔME GRENADINE 50 ML,"35,00",2022-09-01 11:38:57.359837
https://mapara.ma/fils-dentaires-/1906-gum-fil-dentaire-expanding-floss.html,GUM,FIL DENTAIRE EXPANDING FLOSS,"53,00",2022-09-01 11:38:57.360261
https://mapara.ma/dentifrices-gencives-sensibles/3474-oral-b-repare-gencives-et-email-original-dentifrice-75ml.html,ORAL-B,RÉPARE GENCIVES ET ÉMAIL ORIGINAL DENTIFRICE 75ML,"42,00",2022-09-01 11:38:57.360817
https://mapara.ma/brosses-a-dents-manuelles/3448-oral-b-brosse-a-dents-3d-white-fresh-souple.html,ORAL-B,BROSSE A DENTS 3D WHITE FRESH SOUPLE,"33,00",2022-09-01 11:38:57.361412
https://mapara.ma/dentifrices-gencives-sensibles/1010-cattier-dentargile-sauge-100-ml.html,CATTIER,DENTARGILE SAUGE 100 ML,"63,00",2022-09-01 11:38:57.361994
https://mapara.ma/accessoires-dentaires/1932-gum-trav-ler-manche-par-4-unites-avec-brossette-0-8mm.html,GUM,"TRAV-LER MANCHE PAR 4 UNITES AVEC BROSSETTE 0, 8MM","79,00",2022-09-01 11:38:57.362441
https://mapara.ma/dentifrices-protection-caries/4053-sensodyne-pro-email-protection-quotidienne-75-ml.html,SENSODYNE,PRO-EMAIL PROTECTION QUOTIDIENNE 75 ML,"58,00",2022-09-01 11:38:57.362930
https://mapara.ma/haleine-fraiche/2918-miradent-halitosis-spray.html,MIRADENT,HALITOSIS SPRAY,"91,00",2022-09-01 11:38:57.363537
https://mapara.ma/bain-de-bouche-et-soin-gencive/4035-sanogyl-bain-de-bouche-antibacterien-500ml.html,SANOGYL,BAIN DE BOUCHE ANTIBACTERIEN 500ML,"92,00",2022-09-01 11:38:57.364060
https://mapara.ma/dentifrices-enfants/1410-elgydium-dentifrice-junior-tutti-fruitti.html,ELGYDIUM,DENTIFRICE JUNIOR TUTTI FRUITTI,"38,00",2022-09-01 11:38:57.364547
https://mapara.ma/appareils-dentaires/1905-gum-fil-dentaire-easy-flossers.html,GUM,FIL DENTAIRE EASY FLOSSERS,"50,00",2022-09-01 11:38:57.365015
https://mapara.ma/brosses-a-dents-enfants/1396-elgydium-brosse-a-dent-junior-7-a-12-ans.html,ELGYDIUM,BROSSE À DENT JUNIOR 7 À 12 ANS,"42,00",2022-09-01 11:38:57.365468
https://mapara.ma/brosses-a-dents-specialisees/4039-sanogyl-brosse-a-dents-interdentaire.html,SANOGYL,BROSSE À DENTS INTERDENTAIRE,"64,00",2022-09-01 11:38:57.365867
https://mapara.ma/brosses-a-dents-manuelles/3449-oral-b-brosse-a-dents-complete-5-way-clean-40-medium-lot-de-2.html,ORAL-B,BROSSE A DENTS COMPLÈTE 5 WAY CLEAN 40 MEDIUM LOT DE 2,"41,00",2022-09-01 11:38:57.366323
https://mapara.ma/accessoires-dentaires/1931-gum-trav-ler-brossette-interdentaire-2-0-mm-ref1618-4-brossettes.html,GUM,"TRAV-LER BROSSETTE INTERDENTAIRE 2, 0 MM REF1618-4 BROSSETTES","57,00",2022-09-01 11:38:57.368709
https://mapara.ma/dentifrices-blanchissants/1014-cattier-eridene-gencives-sensibles-75ml.html,CATTIER,ERIDENE GENCIVES SENSIBLES 75ML,"75,00",2022-09-01 11:38:57.369298
https://mapara.ma/brosses-a-dents-electriques-/3460-oral-b-brossettes-sensi-ultrathin-2-recharges.html,ORAL-B,BROSSETTES SENSI ULTRATHIN  2-RECHARGES,"92,00",2022-09-01 11:38:57.369856
https://mapara.ma/dentifrices-gencives-sensibles/4057-sensodyne-repare-protege-fraicheur-75-ml.html,SENSODYNE,REPARE & PROTEGE FRAICHEUR 75 ML,"84,00",2022-09-01 11:38:57.370395
https://mapara.ma/fils-dentaires-/1904-gum-fil-dentaire-easy-floss-fil.html,GUM,FIL DENTAIRE EASY FLOSS FIL,"36,00",2022-09-01 11:38:57.370898
https://mapara.ma/dentifrices-gencives-sensibles/4057-sensodyne-repare-protege-fraicheur-75-ml.html,SENSODYNE,REPARE & PROTEGE FRAICHEUR 75 ML,"84,00",2022-09-01 11:38:58.486022
https://mapara.ma/fils-dentaires-/1904-gum-fil-dentaire-easy-floss-fil.html,GUM,FIL DENTAIRE EASY FLOSS FIL,"36,00",2022-09-01 11:38:58.486684
https://mapara.ma/bain-de-bouche-et-soin-gencive/4036-sanogyl-bain-de-bouche-multiprotection-500ml.html,SANOGYL,BAIN DE BOUCHE MULTIPROTECTION 500ML,"139,00",2022-09-01 11:38:58.487780
https://mapara.ma/dentifrices-enfants/1413-elgydium-junior-dentifrice-bubble-gum-7-12-ans.html,ELGYDIUM,JUNIOR DENTIFRICE BUBBLE GUM 7-12 ANS,"35,00",2022-09-01 11:38:58.488368
https://mapara.ma/accessoires-dentaires/1929-gum-trav-ler-brossette-interdentaire-1-3-mm-ref1514-4-brossettes.html,GUM,"TRAV-LER BROSSETTE INTERDENTAIRE 1, 3 MM REF1514-4 BROSSETTES","57,00",2022-09-01 11:38:58.488977
https://mapara.ma/brosses-a-dents-specialisees/3452-oral-b-brosse-a-dents-extra-douce-ultrathin-sensitive.html,ORAL-B,BROSSE À DENTS EXTRA DOUCE ULTRATHIN SENSITIVE,"19,00",2022-09-01 11:38:58.489585
https://mapara.ma/dentifrices-gencives-sensibles/3558-parodontax-dentifrice-gel-creme-75-ml.html,PARODONTAX,DENTIFRICE GEL-CRÈME 75 ML,"43,00",2022-09-01 11:38:58.490142
https://mapara.ma/dentifrices-blanchissants/4052-sensodyne-pro-soin-blancheur.html,SENSODYNE,PRO SOIN BLANCHEUR,"41,00",2022-09-01 11:38:58.490647
https://mapara.ma/bain-de-bouche-et-soin-gencive/2917-miradent-gel-soin-des-plaies-buccales-15-ml.html,MIRADENT,GEL SOIN DES PLAIES BUCCALES 15 ML,"146,00",2022-09-01 11:38:58.491144
https://mapara.ma/brosses-a-dents-enfants/1868-gum-bad-enfant-technique-10-ans.html,GUM,BAD ENFANT TECHNIQUE + 10 ANS,"36,00",2022-09-01 11:38:58.491622
https://mapara.ma/dentifrices-protection-caries/2919-miradent-mirafluor-c-dentifrice-100-ml.html,MIRADENT,MIRAFLUOR C DENTIFRICE 100 ML,"74,00",2022-09-01 11:38:58.492163
https://mapara.ma/fils-dentaires-/1903-gum-fil-dentaire-butlerweave-menthole-cire.html,GUM,FIL DENTAIRE BUTLERWEAVE MENTHOLÉ CIRÉ,"50,00",2022-09-01 11:38:58.492689
https://mapara.ma/brosses-a-dents-specialisees/1872-gum-bad-monotouffe.html,GUM,BAD MONOTOUFFE,"39,00",2022-09-01 11:38:58.493101
