lien,name,tagline,price,dates
https://mapara.ma/gel-douche-et-savon-peaux-atopiques/104-a-derma-exomega-gel-moussant-emollient-500ml.html,A-DERMA,EXOMEGA GEL MOUSSANT EMOLLIENT 500ML,"153,00",2022-08-15 16:09:29.831240
https://mapara.ma/huiles-lavantes/105-a-derma-exomega-huile-nettoyante-emolliente-200-ml.html,A-DERMA,EXOMEGA HUILE NETTOYANTE EMOLLIENTE 200 ML,"114,00",2022-08-15 16:09:29.831862
https://mapara.ma/preservatifs/2774-manix-contact-sensations-intactes-boite-de-12.html,MANIX,CONTACT SENSATIONS INTACTES BOITE DE 12,"75,00",2022-08-15 16:09:29.832459
https://mapara.ma/nettoyage-auriculaire/3840-quies-otospoon-batonnets-ouates-double-action.html,QUIES,OTOSPOON BATONNETS OUATES DOUBLE ACTION,"76,00",2022-08-15 16:09:29.832908
https://mapara.ma/soins-intimes/190-arkopharma-melagyn-gel-200ml.html,ARKOPHARMA,MELAGYN GEL 200ML,"115,00",2022-08-15 16:09:29.833290
https://mapara.ma/gel-lubrifiants-et-accessoires-/2777-manix-effect-gel-lubrifiant-sensation-intense-100-ml.html,MANIX,EFFECT GEL LUBRIFIANT SENSATION INTENSE 100 ML,"72,00",2022-08-15 16:09:29.833728
https://mapara.ma/protection-auditive/3841-quies-protection-auditive-en-cire.html,QUIES,PROTECTION AUDITIVE EN CIRE,"85,00",2022-08-15 16:09:29.834248
https://mapara.ma/toilette-intime/3699-placentor-vegetal-placentime-hygiene-intime.html,PLACENTOR Végétal,PLACENTIME HYGIENE INTIME,"76,00",2022-08-15 16:09:29.834844
https://mapara.ma/transpiration-excessive/369-bcombio-organic-deodorant-sans-sel-aluminium-et-sans-alcool-50-ml.html,BcomBIO ORGANIC,DÉODORANT SANS SEL ALUMINIUM ET SANS ALCOOL 50 ML,"70,00",2022-08-15 16:09:29.835507
https://mapara.ma/serum-physiologique/3744-prince-et-princesse-lili-serum-physiologique-5-doses-de-5-ml.html,PRINCE ET PRINCESSE LILI,SERUM PHYSIOLOGIQUE 5 DOSES DE 5 ML,"21,00",2022-08-15 16:09:29.836057
https://mapara.ma/serviettes-hygieniques-slips-jetables/497-bebe-confort-5-slips-filet-extensibles-taille-unique.html,BEBE CONFORT,5 SLIPS FILET EXTENSIBLES - TAILLE UNIQUE,"146,00",2022-08-15 16:09:29.836614
https://mapara.ma/lingettes-intimes/4031-roge-cavailles-soin-toilette-intime-special-secheresse-500-ml.html,ROGE CAVAILLES,SOIN TOILETTE INTIME SPÉCIAL SÉCHERESSE 500 ML,"188,00",2022-08-15 16:09:29.837148
https://mapara.ma/preservatifs/2775-manix-contact-sensations-intactes-boite-de-3.html,MANIX,CONTACT SENSATIONS INTACTES BOITE DE 3,"18,00",2022-08-15 16:09:29.837632
