lien,name,tagline,price,dates
https://mapara.ma/eaux-florales/2440-laino-eau-florale-de-bleuet-visage-et-yeux-250-ml.html,LAINO,EAU FLORALE DE BLEUET VISAGE ET YEUX 250 ML,"59,00",2022-08-15 16:10:58.720146
https://mapara.ma/masques-visage/2423-laino-argile-verte-surfine-300-g.html,LAINO,ARGILE VERTE SURFINE 300 G,"42,00",2022-08-15 16:10:58.720842
https://mapara.ma/eaux-florales/2441-laino-eau-florale-de-rose-rafraichissante-250-ml.html,LAINO,EAU FLORALE DE ROSE RAFRAICHISSANTE 250 ML,"53,00",2022-08-15 16:10:58.721471
https://mapara.ma/complements-alimentaires-naturels/3250-nutrimax-spiruline-100-bio-120-comprimes-tonus-et-vitalite.html,NUTRIMAX,SPIRULINE 100% BIO 120 COMPRIMÉS TONUS ET VITALITÉ,"96,00",2022-08-15 16:10:58.722003
https://mapara.ma/gel-douche-savon-liquide-gommage/2426-laino-creme-de-douche-nutritive-confort-200-ml.html,LAINO,CRÈME DE DOUCHE NUTRITIVE CONFORT 200 ML,"53,00",2022-08-15 16:10:58.722533
https://mapara.ma/eaux-florales/2442-laino-eau-florale-dhammamelis-astringente-250-ml.html,LAINO,EAU FLORALE D'HAMMAMELIS ASTRINGENTE 250 ML,"53,00",2022-08-15 16:10:58.723158
https://mapara.ma/complements-alimentaires-naturels/3252-nutrimax-spiruline-100-bio-240-comprimes-tonus-et-vitalite.html,NUTRIMAX,SPIRULINE 100% BIO 240 COMPRIMÉS TONUS ET VITALITÉ,"160,00",2022-08-15 16:10:58.723780
https://mapara.ma/gel-douche-savon-liquide-gommage/2428-laino-creme-de-douche-nutritive-douceur-200-ml.html,LAINO,CRÈME DE DOUCHE NUTRITIVE DOUCEUR 200 ML,"53,00",2022-08-15 16:10:58.724396
https://mapara.ma/gel-douche-et-savon-peaux-atopiques/2431-laino-soin-nutritive-intense-olive-400-ml.html,LAINO,SOIN NUTRITIVE INTENSE OLIVE 400 ML,"124,00",2022-08-15 16:10:58.724981
https://mapara.ma/gommages-et-exfoliants-visage/135-algotherm-algoessential-gommage-enzymatique-confort-50ml.html,ALGOTHERM,ALGOESSENTIAL GOMMAGE ENZYMATIQUE CONFORT 50ML,"250,00",2022-08-15 16:10:58.725509
https://mapara.ma/lait-mousse-emulsion/136-algotherm-algoessential-lait-demaquillant-confort-200ml.html,ALGOTHERM,ALGOESSENTIAL LAIT DÉMAQUILLANT CONFORT 200ML,"200,00",2022-08-15 16:10:58.726033
https://mapara.ma/hygiene/2430-laino-creme-de-douche-nutritive-intense-olive-200-ml.html,LAINO,CRÈME DE DOUCHE NUTRITIVE INTENSE OLIVE 200 ML,"53,00",2022-08-15 16:10:58.726595
https://mapara.ma/corps/2433-laino-creme-mains-pro-intense-50-ml.html,LAINO,CRÈME MAINS PRO INTENSE 50 ML,"42,00",2022-08-15 16:10:58.727164
https://mapara.ma/mains-seches-et-abimees/137-algotherm-algoessential-sublime-soin-des-mains-50ml.html,ALGOTHERM,ALGOESSENTIAL SUBLIME SOIN DES MAINS 50ML,"129,00",2022-08-15 16:10:58.727635
https://mapara.ma/hydratants-peaux-seches/138-algotherm-algohydra-creme-repair-re-source-50ml.html,ALGOTHERM,ALGOHYDRA CRÈME REPAIR RE-SOURCE 50ML,"309,00",2022-08-15 16:10:58.728147
https://mapara.ma/deodorants-et-anti-transpirants/2435-laino-deodorant-extrait-de-figue-bio-50ml.html,LAINO,DEODORANT EXTRAIT DE FIGUE BIO 50ML,"40,00",2022-08-15 16:10:58.728665
https://mapara.ma/deodorants-et-anti-transpirants/2437-laino-deodorant-fraicheur-agrume-50ml.html,LAINO,DÉODORANT FRAÎCHEUR AGRUME 50ML,"40,00",2022-08-15 16:10:58.729173
