lien,name,tagline,price,dates
https://mapara.ma/soins-reparateurs-cicatrisants/97-a-derma-cytelium-spray-assechant-100ml.html,A-DERMA,CYTELIUM SPRAY ASSECHANT 100ML,"102,00",2022-09-01 11:39:05.757840
https://mapara.ma/soins-reparateurs-cicatrisants/238-avene-cicalfate-creme-reparatrice-40ml.html,AVENE,CICALFATE CRÈME REPARATRICE 40ML,"153,00",2022-09-01 11:39:05.758434
https://mapara.ma/hydratants-peaux-atopiques/4199-svr-cicavit-sos-grattage-40ml.html,SVR,CICAVIT+ SOS GRATTAGE 40ML,"111,00",2022-09-01 11:39:05.759634
https://mapara.ma/soins-reparateurs-cicatrisants/237-avene-cicalfate-creme-reparatrice-100ml.html,AVENE,CICALFATE CRÈME RÉPARATRICE 100ML,"139,00",2022-09-01 11:39:05.760303
https://mapara.ma/soins-reparateurs-cicatrisants/239-avene-cicalfate-creme-reparatrice-15ml.html,AVENE,CICALFATE CRÈME REPARATRICE 15ML,"38,00",2022-09-01 11:39:05.760968
https://mapara.ma/hydratants-peaux-seches/3675-placentor-vegetal-creme-regeneratrice-et-hydratante.html,PLACENTOR Végétal,CRÈME RÉGÉNÉRATRICE ET HYDRATANTE,"108,00",2022-09-01 11:39:05.761557
https://mapara.ma/soins-chocs-et-brulures/4545-a-derma-cutalgan-100ml.html,A-DERMA,CUTALGAN 100ml,"121,00",2022-09-01 11:39:05.765052
https://mapara.ma/desinfectants-antiseptiques-assechants/44-acm-molutrex-3ml.html,ACM,MOLUTREX 3ML,"116,00",2022-09-01 11:39:05.765794
https://mapara.ma/soins-reparateurs-cicatrisants/4197-svr-cicavit-creme-40-ml.html,SVR,CICAVIT + CRÈME 40 ML,"100,00",2022-09-01 11:39:05.766452
https://mapara.ma/soins-chocs-et-brulures/793-bioderma-cicabio-arnica-40ml.html,BIODERMA,CICABIO ARNICA+ 40ML,"129,00",2022-09-01 11:39:05.767032
https://mapara.ma/soins-chocs-et-brulures/794-bioderma-cicabio-creme.html,BIODERMA,CICABIO CRÈME,"150,00",2022-09-01 11:39:05.767472
https://mapara.ma/visage/795-bioderma-cicabio-creme-reparatrice-apaisante-40ml.html,BIODERMA,CICABIO CRÈME RÉPARATRICE APAISANTE 40ML,"100,00",2022-09-01 11:39:05.768003
https://mapara.ma/spray-antiparasitaire-assainissant/1098-codexial-enviroscab-aerosol-antiparasitaire-200ml.html,CODEXIAL,ENVIROSCAB AÉROSOL ANTIPARASITAIRE 200ML,"160,00",2022-09-01 11:39:05.771949
https://mapara.ma/soins-reparateurs-cicatrisants/4096-sodermix-cicatrices-cheloides-et-hypertrophiques.html,SODERMIX,cicatrices chéloïdes et hypertrophiques,"146,00",2022-09-01 11:39:05.772559
https://mapara.ma/soins-reparateurs-cicatrisants/4306-uriage-bariederm-cica-spray-spray-assechant-reparateur-au-cu-zn-100ml.html,URIAGE,BARIÉDERM CICA-SPRAY SPRAY ASSÉCHANT REPARATEUR AU CU-ZN 100ML,"127,00",2022-09-01 11:39:05.773188
https://mapara.ma/soins-hydratation-peaux-seches-et-atopiques/3683-placentor-vegetal-creme-ultra-hydratante-et-regeneratrice-200ml.html,PLACENTOR Végétal,CRÈME ULTRA-HYDRATANTE ET RÉGÉNÉRATRICE 200ML,"198,00",2022-09-01 11:39:05.774325
