lien,name,tagline,price,dates
https://mapara.ma/solaires-invisibles/2308-la-roche-posay-anthelios-oil-correct-anti-imperfections-gel-creme-50-ml.html,LA ROCHE-POSAY,ANTHELIOS OIL CORRECT ANTI-IMPERFECTIONS GEL-CRÈME 50 ML,"177,00",2022-08-15 16:10:02.063571
https://mapara.ma/soins-reparateurs-cicatrisants/237-avene-cicalfate-creme-reparatrice-100ml.html,AVENE,CICALFATE CRÈME RÉPARATRICE 100ML,"139,00",2022-08-15 16:10:02.064236
https://mapara.ma/soins-chocs-et-brulures/4545-a-derma-cutalgan-100ml.html,A-DERMA,CUTALGAN 100ml,"121,00",2022-08-15 16:10:02.065105
https://mapara.ma/solaires-invisibles/2309-la-roche-posay-anthelios-brume-fraiche-invisible-spf-50-75-ml.html,LA ROCHE-POSAY,ANTHELIOS BRUME FRAÎCHE INVISIBLE SPF 50 (75 ML),"120,00",2022-08-15 16:10:02.065668
https://mapara.ma/solaires-invisibles/246-avene-cleanance-solaire-spf-50.html,AVENE,CLEANANCE SOLAIRE SPF 50,"158,00",2022-08-15 16:10:02.066162
https://mapara.ma/solaires-invisibles/253-avene-creme-solaire-anti-age-spf-50-50ml.html,AVENE,CRÈME SOLAIRE ANTI ÂGE SPF 50 50ML,"185,00",2022-08-15 16:10:02.066744
https://mapara.ma/solaires-invisibles/267-avene-solaire-creme-50-50ml.html,AVENE,SOLAIRE CRÈME 50+ 50ML,"165,00",2022-08-15 16:10:02.067314
https://mapara.ma/solaires-invisibles/268-avene-solaire-creme-minerale-50-50ml.html,AVENE,SOLAIRE CRÈME MINERALE 50+ 50ML,"142,00",2022-08-15 16:10:02.067864
https://mapara.ma/solaires-teintees/269-avene-solaire-creme-teintee-50-50ml.html,AVENE,SOLAIRE CRÈME TEINTEE 50+ 50ML,"160,00",2022-08-15 16:10:02.068362
https://mapara.ma/solaires-invisibles/270-avene-solaire-fluide-50-toucher-sec-50ml.html,AVENE,SOLAIRE FLUIDE 50 TOUCHER SEC 50ML,"159,00",2022-08-15 16:10:02.068822
https://mapara.ma/solaires-invisibles/271-avene-solaire-spray-50-200ml.html,AVENE,SOLAIRE SPRAY 50+ 200ML,"221,00",2022-08-15 16:10:02.069273
https://mapara.ma/solaires-invisibles/3678-placentor-vegetal-creme-solaire-invisible-spf-50.html,PLACENTOR Végétal,CRÈME SOLAIRE INVISIBLE SPF 50+,"158,00",2022-08-15 16:10:02.069784
https://mapara.ma/solaires-teintees/3679-placentor-vegetal-creme-solaire-teintee-spf-50.html,PLACENTOR Végétal,CRÈME SOLAIRE TEINTÉE SPF 50+,"158,00",2022-08-15 16:10:02.070296
https://mapara.ma/solaires-invisibles/114-a-derma-protect-ac-spf50-fluide-matifiant-tres-haute-protection-40ml.html,A-DERMA,PROTECT AC SPF50+ FLUIDE MATIFIANT TRÈS HAUTE PROTECTION 40ML,"146,00",2022-08-15 16:10:02.070808
https://mapara.ma/solaires-invisibles/115-a-derma-protect-ad-spf50-creme-tres-haute-protection-150ml.html,A-DERMA,PROTECT AD SPF50+ CRÈME TRÈS HAUTE PROTECTION 150ML,"285,00",2022-08-15 16:10:02.071273
https://mapara.ma/solaires-invisibles/117-a-derma-protect-fluide-tres-haute-protection-40ml.html,A-DERMA,PROTECT FLUIDE TRÈS HAUTE PROTECTION 40ML,"211,00",2022-08-15 16:10:02.071721
https://mapara.ma/solaires-invisibles/2649-lierac-sunific-premium-la-creme-voluptueuse-spf-30-protection-ultra-large-spectre-anti-age-global-50-ml.html,LIERAC,SUNIFIC PREMIUM LA CRÈME VOLUPTUEUSE SPF 30 PROTECTION ULTRA LARGE SPECTRE - ANTI-ÂGE GLOBAL 50 ML,"433,00",2022-08-15 16:10:02.072177
https://mapara.ma/solaires-invisibles/2651-lierac-sunissime-solaire-fluide-protecteur-spf50.html,LIERAC,SUNISSIME SOLAIRE FLUIDE PROTECTEUR SPF50,"203,00",2022-08-15 16:10:02.072625
https://mapara.ma/solaires-teintees/33-acm-depiwhite-m-teinte-spf50-creme-protectrice-teintee-40ml.html,ACM,DÉPIWHITE M TEINTÉ SPF50+ CRÈME PROTECTRICE TEINTÉE 40ML,"184,00",2022-08-15 16:10:02.073069
https://mapara.ma/solaires-invisibles/35-acm-depiwhite-s-ecran-solaire-spf50-50ml.html,ACM,DÉPIWHITE S ECRAN SOLAIRE SPF50 50ML,"153,00",2022-08-15 16:10:02.073576
https://mapara.ma/solaires-invisibles/36-acm-depiwhite-m-creme-protectrice-invisible-spf-50-40-ml.html,ACM,"DÉPIWHITE, M CRÈME PROTECTRICE INVISIBLE SPF 50+ 40 ML","184,00",2022-08-15 16:10:02.074016
https://mapara.ma/solaires-invisibles/38-acm-duolys-ecran-solaire-anti-age-spf50-50-ml.html,ACM,DUOLYS ECRAN SOLAIRE ANTI-ÂGE SPF50+ 50 ML,"186,00",2022-08-15 16:10:02.083099
https://mapara.ma/solaires-invisibles/61-acm-sebionex-spf-50-gel-solaire-matifiant-40ml.html,ACM,SÉBIONEX SPF 50+ GEL SOLAIRE MATIFIANT 40ML,"158,00",2022-08-15 16:10:02.083716
https://mapara.ma/solaires-invisibles/2041-hyfac-sun-protection-solaire-invisible-spf-50-toucer-sec.html,HYFAC,SUN PROTECTION SOLAIRE INVISIBLE SPF 50+ TOUCER SEC,"158,00",2022-08-15 16:10:02.084349
https://mapara.ma/solaires-teintees/2042-hyfac-sun-protection-solaire-teintee-spf-50.html,HYFAC,SUN PROTECTION SOLAIRE TEINTÉE SPF 50+,"158,00",2022-08-15 16:10:02.084858
https://mapara.ma/solaires-invisibles/67-acm-sensitelial-gel-solaire-spf-50-uvb-uva-40-ml.html,ACM,SENSITÉLIAL GEL SOLAIRE SPF 50+ UVB+UVA 40 ML,"138,00",2022-08-15 16:10:02.085333
https://mapara.ma/soins-reparateurs-cicatrisants/4197-svr-cicavit-creme-40-ml.html,SVR,CICAVIT + CRÈME 40 ML,"100,00",2022-08-15 16:10:02.085841
https://mapara.ma/soins-reparateurs-cicatrisants/4198-svr-cicavit-creme-apaisante-100ml.html,SVR,CICAVIT + CRÈME APAISANTE 100ML,"99,00",2022-08-15 16:10:02.086582
https://mapara.ma/solaires-invisibles/4224-svr-sebiaclear-creme-solaire-spf-50-anti-imperfections-50-ml.html,SVR,SEBIACLEAR CRÈME SOLAIRE SPF 50 ANTI-IMPERFECTIONS 50 ML,"178,00",2022-08-15 16:10:02.087152
https://mapara.ma/solaires-invisibles/4231-svr-secure-fluide-spf-50-fluide-touche-sec.html,SVR,SECURE FLUIDE SPF 50 FLUIDE TOUCHE SEC,"157,00",2022-08-15 16:10:02.087703
https://mapara.ma/solaires-invisibles/4232-svr-secure-fluide-spf50-toucher-sec-fini-invisible-50ml.html,SVR,SECURE FLUIDE SPF50+ TOUCHER SEC FINI INVISIBLE 50ML,"157,00",2022-08-15 16:10:03.206136
https://mapara.ma/solaires-invisibles/4245-svr-sun-secure-blur-spf50-creme-mousse-50ml.html,SVR,SUN SECURE BLUR SPF50 CRÈME MOUSSE 50ML,"165,00",2022-08-15 16:10:03.206857
https://mapara.ma/solaires-invisibles/4246-svr-sun-secure-brume-spf50.html,SVR,SUN SECURE BRUME SPF50+,"156,00",2022-08-15 16:10:03.207781
https://mapara.ma/solaires-teintees/4247-svr-sun-secure-ecran-mineral-teinte-spf50-creme-peaux-seches-50ml.html,SVR,SUN SECURE ECRAN MINÉRAL TEINTÉ SPF50+ CRÈME PEAUX SÉCHES 50ML,"151,00",2022-08-15 16:10:03.208280
https://mapara.ma/solaires-teintees/4248-svr-sun-secure-ecran-mineral-teinte-spf50-toucher-sec-peaux-normales-a-mixtes.html,SVR,SUN SECURE ECRAN MINÉRAL TEINTÉ SPF50+ TOUCHER SEC PEAUX NORMALES À MIXTES,"151,00",2022-08-15 16:10:03.208802
