lien,name,tagline,price,dates
https://mapara.ma/accueil/5045-kmk-vernis-vegan-halal-couleur-blossom.html,KMK,"VERNIS VEGAN HALAL COULEUR ""BLOSSOM""","90,00",2022-08-15 16:08:00.747499
https://mapara.ma/sticks-levres-et-reparateurs/251-avene-cold-cream-stick-levres-4g.html,AVENE,COLD CREAM STICK LEVRES 4G,"75,00",2022-08-15 16:08:00.748153
https://mapara.ma/gommages-et-exfoliants-visage/255-avene-gelee-gommante-douceur-75ml.html,AVENE,GELEE GOMMANTE DOUCEUR 75ML,"158,00",2022-08-15 16:08:00.749146
https://mapara.ma/soins-reparateurs-cicatrisants/97-a-derma-cytelium-spray-assechant-100ml.html,A-DERMA,CYTELIUM SPRAY ASSECHANT 100ML,"102,00",2022-08-15 16:08:00.749645
https://mapara.ma/hydratants-peaux-normales-a-mixtes/256-avene-hydrance-legere-40ml.html,AVENE,HYDRANCE  LEGERE 40ML,"140,00",2022-08-15 16:08:00.750116
https://mapara.ma/outils-accessoires-beaute/2492-lanaform-anti-rides-visage.html,LANAFORM,ANTI-RIDES VISAGE+,"880,00",2022-08-15 16:08:00.750584
https://mapara.ma/fond-de-teint-fluide/3571-pharmaceris-fond-de-teint-fluide-hydratant-spf20-01-ivoire-30ml.html,PHARMACERIS,FOND DE TEINT FLUIDE HYDRATANT SPF20 01 IVOIRE 30ML,"155,00",2022-08-15 16:08:00.751107
https://mapara.ma/correcteurs-de-teint/4558-la-roche-posay-toleriane-compact-10-9g.html,LA ROCHE-POSAY,TOLERIANE COMPACT 10 9g,"180,00",2022-08-15 16:08:00.751636
https://mapara.ma/soins-anti-rougeurs-peau-sensible-squames-/236-avene-antirougeurs-jour-creme-hydratante-protectrice-peaux-sensibles-seches-spf20-40ml.html,AVENE,ANTIROUGEURS JOUR CRÈME HYDRATANTE PROTECTRICE PEAUX SENSIBLES SÈCHES SPF20 40ML,"153,00",2022-08-15 16:08:00.752181
https://mapara.ma/eau-tonique-lotion-/260-avene-lotion-pour-peaux-intolerantes-200ml.html,AVENE,LOTION POUR PEAUX INTOLÉRANTES 200ML,"135,00",2022-08-15 16:08:00.752705
https://mapara.ma/crayon-a-yeux-eye-liner/2397-la-roche-posay-toleriane-crayon-douceur-yeux.html,LA ROCHE-POSAY,TOLERIANE CRAYON DOUCEUR YEUX,"86,00",2022-08-15 16:08:00.753184
https://mapara.ma/masques-visage/261-avene-masque-apaisant-hydratant-peaux-sensibles-50ml.html,AVENE,MASQUE APAISANT HYDRATANT PEAUX SENSIBLES 50ML,"153,00",2022-08-15 16:08:00.753649
https://mapara.ma/rides-installees/262-avene-physiolift-baume-nuit-lissant-regenerant-30ml.html,AVENE,PHYSIOLIFT BAUME NUIT LISSANT RÉGÉNÉRANT 30ML,"305,00",2022-08-15 16:08:00.754186
https://mapara.ma/rides-marquees-perte-de-fermete/3680-placentor-vegetal-creme-structurante-anti-age.html,PLACENTOR Végétal,CRÈME STRUCTURANTE ANTI-ÂGE,"198,00",2022-08-15 16:08:00.754710
https://mapara.ma/soins-cils-et-sourcils/936-biotopix-soins-des-cils-2-5-g.html,BIOTOPIX,"SOINS DES CILS 2, 5 G","300,00",2022-08-15 16:08:00.755196
https://mapara.ma/mascara/2400-la-roche-posay-toleriane-mascara-volume-76ml.html,LA ROCHE-POSAY,"TOLERIANE MASCARA VOLUME 7,6ML","143,00",2022-08-15 16:08:00.755631
https://mapara.ma/soins-specifiques/242-avene-cleanance-expert-soin-emulsion-imperfections-legeres-a-moderees-40ml.html,AVENE,CLEANANCE EXPERT SOIN-EMULSION IMPERFECTIONS LÉGÈRES À MODÉRÉES 40ML,"140,00",2022-08-15 16:08:00.756075
